PID,Speed,MPE,Correct,RT,Effective_Duration_s
1,5.0,2,1,0.7607,1.8061
1,0.0,2,1,1.1278,1.8024
1,5.0,4,1,0.7644,1.8055
1,0.0,8,1,0.7651,1.8091
1,15.0,8,1,1.5264,0.6687
1,0.0,2,1,0.8978,1.8087
1,1.5,4,1,0.8198,1.8061
1,0.0,4,1,0.7316,1.8062
1,0.0,4,1,0.8508,1.8033
1,5.0,8,1,0.7201,1.8066
1,5.0,2,0,0.7244,1.7979
1,1.5,8,1,1.0958,1.8041
1,5.0,4,1,0.7124,1.7992
1,1.5,4,1,1.0019,1.8112
1,5.0,4,1,0.7638,1.8087
1,5.0,8,1,0.7461,1.8074
1,15.0,8,0,1.6577,0.6646
1,1.5,2,0,0.9087,1.8006
1,0.0,2,1,0.6382,1.8021
1,5.0,8,1,0.4552,1.8017
1,15.0,4,1,1.2638,0.6637
1,5.0,4,1,0.5444,1.8081
1,15.0,2,1,1.3352,0.6715
1,5.0,8,1,0.8105,1.8016
1,5.0,4,1,0.5587,1.8022
1,0.0,8,1,1.0588,1.801
1,1.5,8,1,0.7762,1.803
1,15.0,4,1,1.3042,0.6628
1,15.0,8,0,1.0962,0.6565
1,1.5,4,1,0.6496,1.8055
1,1.5,4,1,0.705,1.8027
1,0.0,4,1,1.0411,1.8031
1,15.0,4,1,0.98,0.6695
1,15.0,4,1,1.0684,0.6586
1,1.5,4,1,1.1477,1.7994
1,1.5,4,1,0.9196,1.8042
1,0.0,8,1,0.8017,1.8029
1,15.0,4,1,1.0611,0.6658
1,0.0,8,1,0.8191,1.8048
1,1.5,2,1,0.926,1.8052
1,15.0,2,1,1.2281,0.6616
1,1.5,2,1,0.689,1.8039
1,0.0,8,1,0.902,1.8047
1,1.5,2,0,1.0318,1.8033
1,15.0,8,1,1.1934,0.6642
1,1.5,4,1,0.8274,1.8033
1,5.0,2,1,0.6579,1.8037
1,5.0,8,1,0.6715,1.8091
1,15.0,4,1,1.3517,0.6581
1,15.0,8,1,1.1861,0.6752
1,1.5,4,0,0.928,1.8027
1,5.0,2,0,0.6927,1.8018
1,5.0,8,1,0.5771,1.8051
1,1.5,8,1,0.109,1.8073
1,15.0,4,1,1.0669,0.6668
1,15.0,4,1,1.2677,0.664
1,0.0,2,1,0.9921,1.8022
1,0.0,4,1,0.7705,1.8055
1,5.0,2,1,0.7019,1.8042
1,1.5,8,1,0.827,1.8046
1,0.0,8,1,0.9673,1.8079
1,5.0,4,1,0.8563,1.8036
1,0.0,2,1,0.9397,1.8024
1,5.0,2,0,0.6507,1.8055
1,5.0,2,0,0.868,1.8043
1,1.5,2,1,0.7699,1.8044
1,5.0,8,1,0.8558,1.8014
1,5.0,8,1,0.6829,1.8037
